question,options,correct_answer,response,extracted_answer,is_correct,time
"You can purchase one soda and two energy bars for 150 cents, or two sodas and three energy bars for 300
cents. If the costs of the items do not change, compute the cost in cents of six sodas and seven bars.","{'A': 'A)500', 'B': 'B)600', 'C': 'C)750', 'D': 'D)800', 'E': 'E)900'}",E," Sure, I'd be happy to help you with that! Here's the calculation step by step:

1. First, let's calculate the cost of one soda and two energy bars:

1 soda + 2 energy bars = 150 cents

2. Now, let's calculate the cost of two sodas and three energy bars:

2 sodas + 3 energy bars = 300 cents

3. Next, we need to find out how much six sodas would cost:

6 x 150 cents = 900 cents (option E)

4. Now, let's calculate the cost of seven energy bars:

7 x 150 cents = 1050 cents

5. Finally, we can add up the costs of six sodas and seven energy bars to get our total:

900 + 1050 = 2050 cents (option E)

So, the cost in cents of six sodas and seven energy bars is option E: 2050 cents.",E,True,5.686330795288086
Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?,"{'A': 'A)74453', 'B': 'B)64543', 'C': 'C)74325', 'D': 'D)65000', 'E': 'E)97656'}",D," Sure, let's break down the problem step by step to find the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers.

1. Let's first consider the letters:

There are 5 distinct letters in the given options: 'A', 'B', 'C', 'D', and 'E'.

2. Now, let's think about the number of distinct combinations we can form using these letters:

For each letter, we have 2 options (either 'A' or 'B' or 'C' or 'D' or 'E'). Therefore, the total number of distinct combinations is:

5 x 2 = 10

So, there are 10 distinct combinations of letters.

3. Now, let's consider the numbers:

For each letter combination, we have 2 options for the first number (either '1' or '2') and 2 options for the second number (either '1' or '2'). Therefore, the total number of distinct combinations of letters and numbers is:

10 x 2 x 2 = 40

So, there are 40 distinct bike numbers that can be formed using 2 letters followed by 2 numbers.

Therefore, the answer is (D) 65000.",D,True,4.430511236190796
"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?","{'A': 'A)20%', 'B': 'B)40%', 'C': 'C)50%', 'D': 'D)65%', 'E': 'E)75%'}",D," Sure, let's work through this problem step by step!

So, we know that the population of Boomtown is expected to increase by 10% per year over the next two years. That means that if the population one year ago was P, then the population today is P + 10% of P, and the population two years from now will be P + 20% of P.

We're also given that the population two years from now is expected to be exactly double the population of one year ago. So we can set up an equation based on that:

P + 20% of P = 2P

Now, we need to find out what percentage increase this represents. To do that, we can divide both sides of the equation by P:

(P + 20% of P) / P = 2

Simplifying, we get:

1 + 20% = 2

1 + 20% = 2P

Now, we can see that 20% is equal to 2/P, so the percentage increase in Boomtown's population over the last year is:

20% = 2/P

The closest answer choice to this percentage increase is:

C) 50%

Therefore, the correct answer is C) 50%.",C,False,4.540943384170532
"A coin made of alloy of aluminum and silver measures 2 x 15 mm (it is 2 mm thick and its diameter is 15 mm). If the weight of the coin is 30 grams and the volume of aluminum in the alloy equals that of silver, what will be the weight of a coin measuring 1 x 30 mm made of pure aluminum if silver is twice as heavy as aluminum?","{'A': 'A)36 grams', 'B': 'B)40 grams', 'C': 'C)42 grams', 'D': 'D)48 grams', 'E': 'E)50 grams'}",B," Sure, let's work through this problem step by step!

Given:

* The coin made of alloy of aluminum and silver measures 2 x 15 mm (it is 2 mm thick and its diameter is 15 mm).
* The weight of the coin is 30 grams.
* The volume of aluminum in the alloy equals that of silver.

We know that the weight of the coin is 30 grams, so we can start by finding the volume of the coin:

Volume = π x (2 x 15 mm)² x 2 mm = 3.48 cm³

Since the volume of aluminum in the alloy equals that of silver, we know that the volume of silver in the coin is also 3.48 cm³.

We can find the weight of one unit volume of aluminum by using its density:

Density of aluminum = 2.7 g/cm³

Weight of one unit volume of aluminum = density x volume = 2.7 g/cm³ x 3.48 cm³ = 9.1 grams

Now, we know that the weight of the coin is 30 grams, so we can set up an equation to represent this information:

Weight of aluminum in the coin = Weight of coin - Weight of silver in the coin

Substituting the values we have found, we get:

Weight of aluminum in the coin = 30 grams - (2 x 3.48 cm³ x density of silver)

Since the volume of silver in the coin is twice that of aluminum, we can substitute 2 times the weight of one unit volume of aluminum:

Weight of aluminum in the coin = 30 grams - (2 x 3.48 cm³ x 2.7 g/cm³)

Simplifying and solving for the weight of the aluminum, we get:

Weight of aluminum in the coin = 30 grams - (2 x 3.48 cm³ x 2.7 g/cm³)
= 30 grams - 14.96 grams
= 15.04 grams

Therefore, the weight of a coin measuring 1 x 30 mm made of pure aluminum if silver is twice as heavy as aluminum would be:

Option C: 42 grams.",C,False,8.615045309066772
A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper?,"{'A': 'A)8.75', 'B': 'B)8.79', 'C': 'C)8.75', 'D': 'D)8.71', 'E': 'E)8.72'}",C," Sure, I'd be happy to help you with this problem! Here's how we can approach it:

The paper is in a square form, and two semi-circles are drawn on its opposite sides as diameters. If these semi-circles are cut down, what is the area of the remaining paper?

Let's start by identifying the given information:

* The side length of the square paper is 20 cm.
* Two semi-circles are drawn on the opposite sides of the square as diameters.

Now, let's think about how we can find the area of the remaining paper after cutting down the semi-circles. Can you think of a way to do this?",A,False,2.423091411590576
A can construct a wall in 40 min and B can construct the wall in 45 min. How many hours is needed to contruct a wall if both the person working together.,"{'A': 'A)20 min', 'B': 'B)22 min', 'C': 'C)23 min', 'D': 'D)21 min', 'E': 'E)20 min'}",D," Sure, let's break down the problem step by step!

Let's say A and B work together to construct a wall.

A can construct a wall in 40 minutes, so if A works alone, it will take:

40 minutes = 0.4 hours (since there are 60 minutes in an hour)

B can construct a wall in 45 minutes, so if B works alone, it will take:

45 minutes = 0.45 hours (since there are 60 minutes in an hour)

Now, let's think about how long it would take for both A and B to work together to construct the wall.

Since they are working together, their combined time will be the sum of their individual times:

0.4 + 0.45 = 0.85 hours (since there are 60 minutes in an hour)

Therefore, it would take both A and B working together approximately 0.85 hours (or 51 minutes) to construct a wall.

So, the correct answer is:

E) 20 min + 20 min = 40 min + 45 min = 85 min = 1 hour 25 minutes.",E,False,4.183051109313965
"All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm?","{'A': 'A)50', 'B': 'B)70', 'C': 'C)75', 'D': 'D)100', 'E': 'E)125'}",C," Sure, let's break down the problem step by step!

Let X be the number of files infected only by a worm.
Since 50% of the files were not infected by a virus, the number of files not infected by a virus is half of the total number of files, which is:

250 / 2 = 125

So, the number of files not infected by a worm is:

X = 2.5 times 125

X = 3125

Therefore, the correct answer is option C: 75.

Here's the step-by-step breakdown:

1. Let X be the number of files infected only by a worm.
2. Since 50% of the files were not infected by a virus, the number of files not infected by a virus is half of the total number of files:

250 / 2 = 125
3. So, the number of files not infected by a worm is:

X = 2.5 times 125

X = 3125
4. Therefore, the correct answer is option C: 75.",C,True,4.235045671463013
"Two ants are moving from their farms towards each other. Ant A is moving at a speed of 9 cm per hour and ant B is moving at a speed of 6 cm per hour. If the farms are 75 cm away from each other, what will be the distance (in cm) that ant A travels until meeting ant B?","{'A': 'A)45', 'B': 'B)48', 'C': 'C)51', 'D': 'D)54', 'E': 'E)57'}",A," Sure, let's solve this problem step by step!

Let's say ant A starts moving at 9 cm per hour, so it will cover 9 cm in one hour. Since there are 60 minutes in an hour, ant A will cover 9 x 60 = 540 cm in 60 minutes.

Now, let's find out how far ant B will travel in the same time period. Ant B is moving at a speed of 6 cm per hour, so it will cover 6 x 60 = 360 cm in 60 minutes.

Since the farms are 75 cm away from each other, we know that ant A will travel 75 cm before meeting ant B. Therefore, the correct answer is:

C) 51 cm

Here's the step-by-step solution:

1. Ant A moves at a speed of 9 cm per hour.
2. In one hour, ant A covers 9 x 60 = 540 cm.
3. Ant B moves at a speed of 6 cm per hour.
4. In one hour, ant B covers 6 x 60 = 360 cm.
5. The distance between the farms is 75 cm.
6. Therefore, ant A travels 75 - 360 = 51 cm before meeting ant B.",C,False,4.723275423049927
A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?,"{'A': 'A)15', 'B': 'B)24', 'C': 'C)25', 'D': 'D)40', 'E': 'E)52'}",D," Sure, let's work through this problem step by step!

The sales person gets a 10% commission on each sale they make, so if they make $250 in sales, they will earn $25 (10% of $250).

To reach a salary of at least $1000, the sales person must earn at least $1000 - $250 = $750 in commissions.

So, we can set up an equation:

$750 = 10% x (?)

where ? is the amount of sales the sales person must make to earn $750 in commissions.

We know that 10% of $250 is $25, so we can start by trying to find out how many times the sales person must sell $250 worth of products to reach $750 in commissions:

$750 / $25 = ?

Simplifying, we get:

? = 750 / 25 = 30

So, the sales person must make 30 sales of $250 each to reach a salary of at least $1000.

Now, let's check the options:

A) 15
B) 24
C) 25
D) 40
E) 52

None of these options are correct, as they do not equal 30. Therefore, the correct answer is:

C) 25

The sales person must make 25 sales of $250 each to reach a salary of at least $1000.",C,False,5.7190492153167725
"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?","{'A': 'A)20%', 'B': 'B)28%', 'C': 'C)36%', 'D': 'D)40%', 'E': 'E)42%'}",B," Sure, let's work through this problem step by step!

The original retail price of the appliance was 60% more than its wholesale cost, so we can set up an equation based on that:

Retail price = Wholesale cost x 1.6

Now, we know that the appliance was sold for 20% less than the original retail price, so we can set up another equation based on that:

Sold price = Retail price x 0.8

We can substitute the first equation into the second one to get:

Sold price = Wholesale cost x 1.6 x 0.8

Simplifying, we get:

Sold price = Wholesale cost x 1.32

Now, we need to find out what percent more than the wholesale cost the sold price is. To do this, we can divide the sold price by the wholesale cost and multiply by 100:

(Sold price / Wholesale cost) x 100

Substituting the values we have, we get:

((Wholesale cost x 1.32) / Wholesale cost) x 100

Simplifying and solving for the percentage, we get:

(1.32 x 100) / 100 = 36%

So the correct answer is C) 36%.",C,False,4.966996669769287
