dataset,question,options,prompt_template,chain_of_thought,generated_answer,correct_answer,is_correct,expert_type,num_steps
AQuA,"A shopkeeper employed a servant at a monthly salary of 1500. In addition to it, he agreed to pay him a commission of 15% on the monthly sale. How much sale in Rupees should the servant do if he wants his monthly income as 6000?","{'A': 'A)30000', 'B': 'B)415000', 'C': 'C)31500', 'D': 'D)50000', 'E': 'E)None of these'}","Let's think this through step by step, but keep it brief.","Sure! Let's work through this problem together.

The shopkeeper agreed to pay the servant a monthly salary of 1500 and a commission of 15% on the monthly sale.

So, if the servant wants his monthly income to be 6000, we can set up an equation based on the information given:

Monthly salary + Commission = Monthly Income

1500 + (15% of Monthly Sale) = 6000

Now, we need to find out what the monthly sale should be so that the servant's monthly income is 6000.

We can start by calculating the commission:

Commission = 15% of Monthly Sale
= 15/100 x Monthly Sale

Now, we can substitute the values we know:

Monthly Salary + Commission = Monthly Income

1500 + (15/100 x Monthly Sale) = 6000

We want the monthly income to be 6000, so we can set up an equation:

1500 + (15/100 x 6000) = 6000

Now, we can simplify the equation:

1500 + (15/100 x 6000) = 6000

1500 + 900 = 6000

2400 = 6000

So, the monthly sale should be:

Monthly Sale = 6000 / 100
= 60 x 100
= 6000","the correct answer is option C: 31500.

The servant should do a monthly sale of 31500 to earn a monthly income of 6000.",A,False,short_chain,1
AQuA,"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.","{'A': 'A)1584', 'B': 'B)2520', 'C': 'C)1728', 'D': 'D)1656', 'E': 'E)None'}","Let's think this through step by step, but keep it brief.","Sure! Let's work through this problem step by step:

Given that the student found the value of 7/18 of a number, we know that the actual value of 7/8 of the number is incorrect.

Let's call the number ""x"". Then, we can write:

7/8 = (7/18) x

Since the student found the value of 7/18 to be y, we have:

(7/18) x = y

Now, we know that the actual value of 7/8 is 770 away from the student's answer. So, we can write:

(7/8) x - y = 770

Simplifying this equation, we get:

4x - 7y = 770

Now, we need to find the value of x that satisfies this equation. To do so, we can solve for x by adding 7y to both sides of the equation:

4x - 7y + 7y = 770 + 7y

This simplifies to:

4x = 840

Now, we can divide both sides of the equation by 4 to find x:

x = 210",the correct answer is option C (1728).,A,False,short_chain,1
AQuA,"A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day?","{'A': 'A)80', 'B': 'B)120', 'C': 'C)240', 'D': 'D)320', 'E': 'E)360'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Let X be the number of yellow golf balls at the beginning of the day.

We know that 80% of the inventory was sold, so the number of golf balls sold is 0.8 \* 600 = 480.

Since all white golf balls were sold, the number of white golf balls at the beginning of the day is equal to the number of yellow golf balls.","X + 80 = 480.

Solving for X, we get:

X = 480 - 80 = 320.

Therefore, the store had 320 yellow golf balls to begin the day. The correct answer is D) 320.",E,False,short_chain,1
AQuA,"The population of a city is 5265526. If there are 4169516 adults in the city, how many children are there in the city?","{'A': 'A)1095961', 'B': 'B)1065961', 'C': 'C)1085961', 'D': 'D)1097961', 'E': 'E)1096061'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

The total population of the city is given as 5265526.

We are told that there are 4169516 adults in the city.

To find out how many children there are, we need to subtract the number of adults from the total population:

5265526 - 4169516 = ?

Solving for the difference, we get:

5265526 - 4169516 = 1095961","there are 1095961 children in the city.

So, the correct answer is option E: 1096061.",E,True,short_chain,1
AQuA,There is well of depth 30m and frog is at bottom of the well. He jumps 3m up one day and falls back 2m down the same day. How many days will it take for the frog to come out of the well?,"{'A': 'A)25 days', 'B': 'B)26 days', 'C': 'C)27 days', 'D': 'D)28 days', 'E': 'E)29 days'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

The frog jumps 3m up on day 1, so it is now at a depth of 30 - 3 = 27m.
On day 2, the frog falls back 2m, so it is now at a depth of 27 - 2 = 25m.","it will take the frog 25 days to come out of the well.

So, the correct answer is C) 27 days.",D,False,short_chain,2
AQuA,"A straight picket fence is composed of x pickets each of which is 1/2 inch wide. If there are 6 inches of space between each pair of pickets, which of the following represents the length of fence in feet?","{'A': 'A)13x/2', 'B': 'B)13x/2 - 6', 'C': 'C)13x/24', 'D': 'D)(13x+1)/24', 'E': 'E)(13x-12)/24'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

The total length of the fence is the sum of the lengths of all the pickets. Since each picket is 1/2 inch wide, the length of each picket is 1/2 inch.","the total length of the fence is:

1/2 inch x x = 13x/2 (option A)

There are 6 inches of space between each pair of pickets, so we need to add this to the length of each picket:

13x/2 + 6 = 13x/2 + 6 (option B)

We can simplify this by combining like terms:

13x/2 + 6 = 13x/2 + 6 (option C)

There are 24 inches in a foot, so we can convert the fraction to an integer:

13x/2 + 6 = 13x/24 + 6 (option D)

Finally, we can simplify this by combining like terms:

13x/24 + 6 = (13x+1)/24 (option E)

Therefore, the correct answer is option E: (13x+1)/24.",E,False,short_chain,2
AQuA,"If n is such that 36 ≤ n ≤ 72, then x = (n2 + 2√n(n + 4) + 16) / (n+ 4√n+ 4) satisfies","{'A': 'A)20 < x < 54', 'B': 'B)23 < x < 58', 'C': 'C)25 < x < 64', 'D': 'D)28 < x < 60', 'E': 'E)None of these'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

We can start by factoring the numerator and denominator of the given expression:

x = (n2 + 2√n(n + 4) + 16) / (n+ 4√n+ 4)

= (n2 + 2n + 32) / (n + 4n + 16)

We can simplify the expression by combining like terms:

= n2 + 2n + 32 / (n + 4n + 16)

Now, we can see that the numerator and denominator have a common factor of n, so we can cancel it out:

= n(n + 2 + 32) / (n + 4n + 16)

= n(n + 32) / (2n + 16)

We can simplify further by combining like terms:

= n(n + 16) / (2n + 16)

= n(2) / (2)

= 2n

So, the value of x is simply twice the value of n.","the correct answer is:

C) 25 < x < 64

Since 36 ≤ n ≤ 72, we know that 25 ≤ x < 64.",D,False,short_chain,1
AQuA,"Silu and Meenu were walking on the road.
Silu said, ""I weigh 51 Kgs. How much do you weigh?""
Meenu replied that she wouldn't reveal her weight directly as she is overweight.
But she said, ""I weigh 29 Kgs plus half of my weight. ""How much does Meenu weigh?","{'A': 'A)12', 'B': 'B)28', 'C': 'C)27', 'D': 'D)58', 'E': 'E)91'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Meenu said that she weighs 29 kg plus half of her weight. So, let's find out what half of her weight is:

Half of Meenu's weight = (29 kg x 0.5) = 14.5 kg

Now, we add the weight that Meenu mentioned to her actual weight:

Meenu's weight = 29 kg + 14.5 kg = 43.5 kg",the correct answer is option C: 27 kg.,D,False,short_chain,2
AQuA,"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic was","{'A': 'A)8', 'B': 'B)12', 'C': 'C)16', 'D': 'D)24', 'E': 'E)25'}","Let's think this through step by step, but keep it brief.","Sure! Let's work through this together.

So, we know that the number of friends who attended the picnic is less than 8 because 4 of them did not show up.","we can eliminate option A) 8.

We also know that the remaining friends had to contribute Rs. 4 extra each, so the total amount spent by the attending friends is Rs. 96 + (4 x number of attendees). Since there are 4 less people attending, we can subtract 4 from the total amount spent:

Rs. 96 + (4 x number of attendees) = Rs. 96 + (4 x 8 - 4)

= Rs. 96 + (32 - 4)

= Rs. 96 + 28

= Rs. 124

Therefore, the number of friends who attended the picnic is 8, and the total amount spent by them is Rs. 124.

So, the correct answer is option B) 12.",A,True,short_chain,2
AQuA,An astronaut weighing 211 pounds on Earth would weigh 182 pounds on Venus. The weight of the astronaut on Venus would be approximately what percent of the astronaut’s weight on Earth?,"{'A': 'A)50%', 'B': 'B)60%', 'C': 'C)70%', 'D': 'D)86%', 'E': 'E)90%'}","Let's think this through step by step, but keep it brief.","Sure! Here’s the solution:

The weight of an object on Venus is approximately 90% of its weight on Earth, so the astronaut would weigh approximately 90% of 211 pounds, or 199 pounds.",the correct answer is E) 90%.,D,False,short_chain,2
